photo_id,sol,camera_id,camera_name,camera_full_name,img_src,earth_date,rover_id,rover_name,rover_landing_date,rover_launch_date,rover_status
1314294,1485,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01485/ids/edr/browse/ncam/NLG_1485_0798763015_112ECM_N0730000NCAM00529_00_2I4J01_1200.jpg,2025-04-23,8,Perseverance,2021-02-18,2020-07-30,active
1314295,1485,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01485/ids/edr/browse/ncam/NLG_1485_0798763032_050ECM_N0730000NCAM00529_00_2I4J01_1200.jpg,2025-04-23,8,Perseverance,2021-02-18,2020-07-30,active
1314299,1485,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01485/ids/edr/browse/ncam/NLG_1485_0798763065_112ECM_N0730000NCAM00529_00_2I4J01_1200.jpg,2025-04-23,8,Perseverance,2021-02-18,2020-07-30,active
1314305,1485,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01485/ids/edr/browse/ncam/NLG_1485_0798763365_050ECM_N0730000NCAM00518_00_2I3J01_1200.jpg,2025-04-23,8,Perseverance,2021-02-18,2020-07-30,active
1314319,1485,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01485/ids/edr/browse/ncam/NLG_1485_0798763390_101ECM_N0730000NCAM00518_00_2I3J01_1200.jpg,2025-04-23,8,Perseverance,2021-02-18,2020-07-30,active
1314320,1485,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01485/ids/edr/browse/ncam/NLG_1485_0798763340_050ECM_N0730000NCAM00518_00_2I3J01_1200.jpg,2025-04-23,8,Perseverance,2021-02-18,2020-07-30,active
1314321,1485,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01485/ids/edr/browse/ncam/NLG_1485_0798763290_050ECM_N0730000NCAM00518_00_2I3J01_1200.jpg,2025-04-23,8,Perseverance,2021-02-18,2020-07-30,active
1314322,1485,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01485/ids/edr/browse/ncam/NLG_1485_0798763265_050ECM_N0730000NCAM00518_00_2I3J01_1200.jpg,2025-04-23,8,Perseverance,2021-02-18,2020-07-30,active
1314323,1485,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01485/ids/edr/browse/ncam/NLG_1485_0798763214_927ECM_N0730000NCAM00518_00_2I3J01_1200.jpg,2025-04-23,8,Perseverance,2021-02-18,2020-07-30,active
1314324,1485,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01485/ids/edr/browse/ncam/NLG_1485_0798763049_050ECM_N0730000NCAM00529_00_2I4J01_1200.jpg,2025-04-23,8,Perseverance,2021-02-18,2020-07-30,active
1314325,1485,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01485/ids/edr/browse/ncam/NLG_1485_0798763036_050ECM_N0730000NCAM00529_00_2I4J01_1200.jpg,2025-04-23,8,Perseverance,2021-02-18,2020-07-30,active
1314328,1485,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01485/ids/edr/browse/ncam/NLG_1485_0798762998_050ECM_N0730000NCAM00529_00_2I4J01_1200.jpg,2025-04-23,8,Perseverance,2021-02-18,2020-07-30,active
1314329,1485,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01485/ids/edr/browse/ncam/NLG_1485_0798762989_801ECM_N0730000NCAM00529_00_2I4J01_1200.jpg,2025-04-23,8,Perseverance,2021-02-18,2020-07-30,active
1314330,1485,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01485/ids/edr/browse/ncam/NLG_1485_0798763315_050ECM_N0730000NCAM00518_00_2I3J01_1200.jpg,2025-04-23,8,Perseverance,2021-02-18,2020-07-30,active
1314331,1485,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01485/ids/edr/browse/ncam/NLG_1485_0798762994_020ECM_N0730000NCAM00529_00_2I4J01_1200.jpg,2025-04-23,8,Perseverance,2021-02-18,2020-07-30,active
1314332,1485,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01485/ids/edr/browse/ncam/NLG_1485_0798763019_112ECM_N0730000NCAM00529_00_2I4J01_1200.jpg,2025-04-23,8,Perseverance,2021-02-18,2020-07-30,active
1314333,1485,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01485/ids/edr/browse/ncam/NLG_1485_0798763240_146ECM_N0730000NCAM00518_00_2I3J01_1200.jpg,2025-04-23,8,Perseverance,2021-02-18,2020-07-30,active
1314334,1485,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01485/ids/edr/browse/ncam/NLG_1485_0798763002_050ECM_N0730000NCAM00529_00_2I4J01_1200.jpg,2025-04-23,8,Perseverance,2021-02-18,2020-07-30,active
1314335,1485,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01485/ids/edr/browse/ncam/NLG_1485_0798763073_675ECM_N0730000NCAM00529_00_2I4J01_1200.jpg,2025-04-23,8,Perseverance,2021-02-18,2020-07-30,active
1314336,1485,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01485/ids/edr/browse/ncam/NLG_1485_0798763069_112ECM_N0730000NCAM00529_00_2I4J01_1200.jpg,2025-04-23,8,Perseverance,2021-02-18,2020-07-30,active
1314337,1485,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01485/ids/edr/browse/ncam/NLG_1485_0798763061_112ECM_N0730000NCAM00529_00_2I4J01_1200.jpg,2025-04-23,8,Perseverance,2021-02-18,2020-07-30,active
